scientific_name_original,scientific_name_matched,common_name_en,iucn,at_way_canguk,at_way_titias,at_danau_ranau,habitat_tier,wcrs_text,wc_from_text_only,sources,birdnet_label,in_birdnet_v24
Sterna hirundo,Sterna hirundo,Common Tern,,True,False,False,lowland,False,False,gooddie2015;ebird_ID-SM-LA;ebird_Belimbing,Sterna hirundo_Common Tern,True
Sternula albifrons,Sternula albifrons,Little Tern,,True,False,False,lowland,False,False,gooddie2015;ebird_ID-SM-LA,Sternula albifrons_Little Tern,True
Synoicus chinensis,Synoicus chinensis,Asian Blue Quail,,True,False,False,lowland,False,False,gooddie2015;ebird_ID-SM-LA,Synoicus chinensis_Blue-breasted Quail,True
Tephrodornis gularis,Tephrodornis virgatus,Large Woodshrike,,True,True,False,lowland,False,False,gooddie2015,Tephrodornis virgatus_Large Woodshrike,True
Terpsiphone paradisi,Terpsiphone paradisi,Asian Paradise-flycatcher,,True,True,True,lowland,False,False,gooddie2015,Terpsiphone paradisi_Indian Paradise-Flycatcher,True
Todiramphus chloris,Todiramphus chloris,Collared Kingfisher,,True,True,True,lowland,False,False,gooddie2015;ebird_ID-SM-LA;ebird_Belimbing;ebird_Bengkunat;ebird_ForestTrail;ebird_hotspot_L7940372,Todiramphus chloris_Collared Kingfisher,True
Treron curvirostra,Treron curvirostra,Thick-billed Green Pigeon,,True,False,False,lowland,False,False,gooddie2015;ebird_ID-SM-LA;ebird_Bengkunat;ebird_ForestTrail,Treron curvirostra_Thick-billed Green-Pigeon,True
Treron olax,Treron olax,Little Green Pigeon,,True,False,False,lowland,False,False,gooddie2015;ebird_ID-SM-LA;ebird_Belimbing;ebird_Bengkunat;ebird_ForestTrail,Treron olax_Little Green-Pigeon,True
Treron vernans,Treron vernans,Pink-necked Green Pigeon,,True,False,False,lowland,False,False,gooddie2015;ebird_ID-SM-LA;ebird_Belimbing;ebird_Bengkunat;ebird_ForestTrail;ebird_hotspot_L7940372,Treron vernans_Pink-necked Green-Pigeon,True
Trichastoma bicolor,Pellorneum bicolor,Ferruginous Babbler,,True,False,False,lowland,False,False,gooddie2015,Pellorneum bicolor_Ferruginous Babbler,True
Trichastoma rostratum,Pellorneum rostratum,White-chested Babbler,NT,True,True,False,lowland,True,False,gooddie2015;brickle_wcrs,Pellorneum rostratum_White-chested Babbler,True
Trichixos pyrropyga,Copsychus pyrropygus,Rufous-tailed Shama,NT,True,False,False,lowland,False,False,gooddie2015,Copsychus pyrropygus_Rufous-tailed Shama,True
Tricholestes criniger,Tricholestes criniger,Hairy-backed Bulbul,,True,True,False,lowland,False,False,gooddie2015;ebird_ID-SM-LA;ebird_Bengkunat;ebird_ForestTrail,Tricholestes criniger_Hairy-backed Bulbul,True
Tringa totanus,Tringa totanus,Common Redshank,,True,False,False,lowland,False,False,gooddie2015;ebird_ID-SM-LA;ebird_Belimbing,Tringa totanus_Common Redshank,True
Turnix suscitator,Turnix suscitator,Barred Buttonquail,,True,False,False,lowland,False,False,gooddie2015;ebird_ID-SM-LA;ebird_Belimbing,Turnix suscitator_Barred Buttonquail,True
