locId,locName,speciesCode
L5865707,"Bukit Barisan Selatan, Bengkunat",comfla1
L5865707,"Bukit Barisan Selatan, Bengkunat",crwwoo1
L5865707,"Bukit Barisan Selatan, Bengkunat",banwoo2
L5865707,"Bukit Barisan Selatan, Bengkunat",chtwoo1
L5865707,"Bukit Barisan Selatan, Bengkunat",whbwoo2
L5865707,"Bukit Barisan Selatan, Bengkunat",bltfal1
L5865707,"Bukit Barisan Selatan, Bengkunat",blrpar1
L5865707,"Bukit Barisan Selatan, Bengkunat",lotpar2
L5865707,"Bukit Barisan Selatan, Bengkunat",bchpar1
L5865707,"Bukit Barisan Selatan, Bengkunat",grebro1
L5865707,"Bukit Barisan Selatan, Bengkunat",dusbro1
L5865707,"Bukit Barisan Selatan, Bengkunat",barbro1
L5865707,"Bukit Barisan Selatan, Bengkunat",banbro1
L5865707,"Bukit Barisan Selatan, Bengkunat",baybro1
L5865707,"Bukit Barisan Selatan, Bengkunat",giapit1
L5865707,"Bukit Barisan Selatan, Bengkunat",banpit3
L5865707,"Bukit Barisan Selatan, Bengkunat",wehpit1
L5865707,"Bukit Barisan Selatan, Bengkunat",fiemin1
L5865707,"Bukit Barisan Selatan, Bengkunat",scamin1
L5865707,"Bukit Barisan Selatan, Bengkunat",lescus1
L5865707,"Bukit Barisan Selatan, Bengkunat",datori1
L5865707,"Bukit Barisan Selatan, Bengkunat",whbwoo4
L5865707,"Bukit Barisan Selatan, Bengkunat",larwoo1
L5865707,"Bukit Barisan Selatan, Bengkunat",bwfshr2
L5865707,"Bukit Barisan Selatan, Bengkunat",ruwphi2
L5865707,"Bukit Barisan Selatan, Bengkunat",greior2
L5865707,"Bukit Barisan Selatan, Bengkunat",brodro1
L5865707,"Bukit Barisan Selatan, Bengkunat",sumdro1
L5865707,"Bukit Barisan Selatan, Bengkunat",grtdro1
L5865707,"Bukit Barisan Selatan, Bengkunat",blnmon1
L5865707,"Bukit Barisan Selatan, Bengkunat",blypaf1
L5865707,"Bukit Barisan Selatan, Bengkunat",tigshr1
L5865707,"Bukit Barisan Selatan, Bengkunat",brnshr
L5865707,"Bukit Barisan Selatan, Bengkunat",blkmag1
L5865707,"Bukit Barisan Selatan, Bengkunat",slbcro2
L5865707,"Bukit Barisan Selatan, Bengkunat",marbab1
L5865707,"Bukit Barisan Selatan, Bengkunat",dantai1
L5865707,"Bukit Barisan Selatan, Bengkunat",ashtai1
L5865707,"Bukit Barisan Selatan, Bengkunat",ruttai1
L5865707,"Bukit Barisan Selatan, Bengkunat",bawpri1
L5865707,"Bukit Barisan Selatan, Bengkunat",habbul1
